1209 SUMMIT AVE.,2,2/11/2011,"$118,000",7,"$35,400",n/a,"$35,400","$2,761.20",SHHT,2010,Condo,"1,679","$387,800",n/a,"$387,800","$6,282.36"
1209 SUMMIT AVE.,2,4/27/2012,"$268,000",,"$80,400",n/a,"$80,400","$6,271.20",SHHT,2010,Condo,"1,668","$385,900",n/a,"$385,900","$6,251.58"
1209 SUMMIT AVE.,2,4/29/2011,"$60,000",7,"$18,000",n/a,"$18,000","$1,404.00",SHHT,2010,Condo,"1,632","$385,300",n/a,"$385,300","$6,241.86"
1209 SUMMIT AVE.,2,2/1/2012,"$268,000",7,"$80,400",n/a,"$80,400","$6,271.20",SHHT,2010,Condo,"1,761","$407,300",n/a,"$407,300","$6,598.26"
1209 SUMMIT AVE.,2,12/29/2010,"$60,000",21,"$18,000",n/a,"$18,000","$1,404.00",SHHT,2010,Condo,"1,805","$414,900",n/a,"$414,900","$6,721.38"
1209 SUMMIT AVE.,2,3/7/2011,"$79,000",7,"$23,700",n/a,"$23,700","$1,848.60",SHHT,2010,Condo,"1,645","$381,900",n/a,"$381,900","$6,186.78"
1209 SUMMIT AVE.,2,1/14/2012,"$79,000",15,"$23,700",n/a,"$23,700","$1,848.60",SHHT,2010,Condo,"1,645","$381,900",n/a,"$381,900","$6,186.78"
1209 SUMMIT AVE.,2,1/14/2011,"$60,000",7,"$18,000",n/a,"$18,000","$1,404.00",SHHT,2010,Condo,"1,785","$411,500",n/a,"$411,500","$6,666.30"
1209 SUMMIT AVE.,2,1/7/2011,"$268,000",7,"$80,400",n/a,"$80,400","$6,271.20",SHHT,2010,Condo,"1,761","$407,300",n/a,"$407,300","$6,598.26"
1209 SUMMIT AVE.,2,12/29/2010,"$79,000",26,"$23,700",n/a,"$23,700","$1,848.60",SHHT,2010,Condo,"1,647","$382,300",n/a,"$382,300","$6,193.26"
1209 SUMMIT AVE.,2,7/22/2011,"$268,000",7,"$80,400",n/a,"$80,400","$6,271.20",SHHT,2010,Condo,"1,668","$385,900",n/a,"$385,900","$6,251.58"
1209 SUMMIT AVE.,2,12/23/2010,"$118,000",7,"$35,400",n/a,"$35,400","$2,761.20",SHHT,2010,Condo,"1,679","$387,800",n/a,"$387,800","$6,282.36"
1209 SUMMIT AVE.,2,12/29/2010,"$118,000",26,"$35,400",n/a,"$35,400","$2,761.20",SHHT,2010,Condo,"1,679","$393,300",n/a,"$393,300","$6,371.46"
